trade_time,order_fill_time,btype,symbol,order_price,order_volume,side,volume,vwap,amount,fee,net_amount,cash_balance,posi_balance,posi_vwap,multiplier,margin_ratio,margin_change_amount
2022-11-02 08:00:00,,银证转入,,0.0,0,-,0,0.0,10000000.0,0.0,10000000.0,10000000.0,0,0.0,1.0,1.0,0
2022-11-02 14:50:00,2022-11-02 14:50:00,买入开仓,SHSE.510300,3.679285764694214,2717900,多,2717900,3.679653693270683,-10000930.77294039,1000.0930772940391,-10001930.866017684,-1930.8660176843405,2717900,3.6800216586400105,1.0,1.0,0
2023-03-03 14:50:00,2023-03-03 14:50:00,卖出平仓,SHSE.510300,4.124000072479248,2717900,多,-2717900,4.123587672472,11207498.93501165,1120.749893501165,11206378.185118148,11204447.319100464,0,3.6800216586400105,1.0,1.0,0
2023-03-14 14:50:00,2023-03-14 14:50:00,买入开仓,SHSE.510300,3.9800000190734863,2815100,多,2815100,3.980398019075394,-11205218.463499142,1120.5218463499143,-11206338.985345492,-1891.6662450283766,2815100,3.980796058877302,1.0,1.0,0
2023-04-14 14:50:00,2023-04-14 14:50:00,卖出平仓,SHSE.510300,4.084000110626221,2815100,多,-2815100,4.083591710615158,11495719.02455273,1149.5719024552732,11494569.452650275,11492677.786405247,0,3.980796058877302,1.0,1.0,0
2023-04-26 14:50:00,2023-04-26 14:50:00,买入开仓,SHSE.510300,3.9509999752044678,2908800,多,2908800,3.951395075201988,-11493817.994747542,1149.3817994747542,-11494967.376547016,-2289.5901417694986,2908800,3.951790214709508,1.0,1.0,0
2023-05-05 14:50:00,2023-05-05 14:50:00,卖出平仓,SHSE.510300,4.008999824523926,2908800,多,-2908800,4.008598924541474,11660212.55170624,1166.021255170624,11659046.530451069,11656756.9403093,0,3.951790214709508,1.0,1.0,0
2023-05-26 14:50:00,2023-05-26 14:50:00,买入开仓,SHSE.510300,3.8499999046325684,3027700,多,3027700,3.8503849046230316,-11657810.375727152,1165.7810375727154,-11658976.156764725,-2219.216455426067,3027700,3.8507699431134936,1.0,1.0,0
2023-06-15 14:50:00,2023-06-15 14:50:00,卖出平仓,SHSE.510300,3.941999912261963,3027700,多,-3027700,3.9416057122707366,11933999.615042109,1193.399961504211,11932806.215080604,11930586.998625178,0,3.8507699431134936,1.0,1.0,0
2023-06-26 14:50:00,2023-06-26 14:50:00,买入开仓,SHSE.510300,3.8429999351501465,3104400,多,3104400,3.8433842351436613,-11931402.019579982,1193.1402019579982,-11932595.15978194,-2008.1611567623913,3104400,3.843768573567176,1.0,1.0,0
2023-07-05 14:50:00,2023-07-05 14:50:00,卖出平仓,SHSE.510300,3.9070000648498535,3104400,多,-3104400,3.9066093648433684,12127678.112219753,1212.7678112219753,12126465.34440853,12124457.183251768,0,3.843768573567176,1.0,1.0,0
2023-07-06 14:50:00,2023-07-06 14:50:00,买入开仓,SHSE.510300,3.878999948501587,3125600,多,3125600,3.879387848496437,-12125414.659260463,1212.5414659260464,-12126627.20072639,-2170.0174746215343,3125600,3.879775787281287,1.0,1.0,0
2023-07-17 14:50:00,2023-07-17 14:50:00,卖出平仓,SHSE.510300,3.9240000247955322,3125600,多,-3125600,3.923607624793053,12263627.992053166,1226.3627992053166,12262401.629253961,12260231.61177934,0,3.879775787281287,1.0,1.0,0
2023-07-19 14:50:00,2023-07-19 14:50:00,买入开仓,SHSE.510300,3.9159998893737793,3130800,多,3130800,3.9163914893627165,-12261438.474896792,1226.1438474896793,-12262664.618744282,-2433.0069649424404,3130800,3.9167831285116526,1.0,1.0,0
2023-08-01 14:50:00,2023-08-01 14:50:00,卖出平仓,SHSE.510300,4.065999984741211,3130800,多,-3130800,4.065593384742737,12728559.76895256,1272.8559768952562,12727286.912975665,12724853.906010723,0,3.9167831285116526,1.0,1.0,0
2023-08-23 14:50:00,2023-08-23 14:50:00,买入开仓,SHSE.510300,3.7679998874664307,3377000,多,3377000,3.768376687455177,-12725808.073536133,1272.5808073536134,-12727080.654343488,-2226.7483327649534,3377000,3.768753525123923,1.0,1.0,0
2023-09-05 14:50:00,2023-09-05 14:50:00,卖出平仓,SHSE.510300,3.8929998874664307,3377000,多,-3377000,3.892610587477684,13145345.953912139,1314.534595391214,13144031.419316748,13141804.670983983,0,3.768753525123923,1.0,1.0,0
